geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
529276,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Марьино",,Europe/Moscow,0
529352,ru,EU,"Европа",RU,"Россия",ME,"Марий Эл",,,,,Europe/Moscow,0
529368,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Марфино",,Europe/Moscow,0
529492,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Манушкино",,Europe/Moscow,0
529587,ru,EU,"Европа",RU,"Россия",BEL,"Белгородская область",,,"Мандрово",,Europe/Moscow,0
529709,ru,EU,"Европа",RU,"Россия",TA,"Татарстан",,,"Мамадыш",,Europe/Moscow,0
530849,ru,EU,"Европа",RU,"Россия",KLU,"Калужская область",,,"Малоярославец",,Europe/Moscow,0
531098,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Малино",,Europe/Moscow,0
531129,ru,EU,"Европа",RU,"Россия",IN,"Ингушетия",,,"Малгобек",,Europe/Moscow,0
531691,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Малая Дубна",,Europe/Moscow,0
531820,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Малаховка",,Europe/Moscow,0
532096,ru,EU,"Европа",RU,"Россия",DA,"Дагестан",,,"Махачкала",,Europe/Moscow,0
532288,ru,EU,"Европа",RU,"Россия",CHE,"Челябинская",,,"Магнитогорск",,Asia/Yekaterinburg,0
532459,ru,EU,"Европа",RU,"Россия",KLU,"Калужская область",,,"Людиново",,Europe/Moscow,0
532463,ru,EU,"Европа",RU,"Россия",NGR,"Новгородская Область",,,"Любытино",,Europe/Moscow,0
532477,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Любучаны",,Europe/Moscow,0
532600,ru,EU,"Европа",RU,"Россия",YAR,"Ярославская область",,,"Любим",,Europe/Moscow,0
532615,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Люберцы",,Europe/Moscow,0
532637,ru,EU,"Европа",RU,"Россия",LEN,"Ленинградская область",,,"Любань",,Europe/Moscow,0
532657,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Лыткарино",,Europe/Moscow,0
532675,ru,EU,"Европа",RU,"Россия",PER,"Пермский край",,,"Лысьва",,Asia/Yekaterinburg,0
532715,ru,EU,"Европа",RU,"Россия",NIZ,"Нижегородская область",,,"Лысково",,Europe/Moscow,0
532895,ru,EU,"Европа",RU,"Россия",MO,"Мордовия",,,"Лямбирь",,Europe/Moscow,0
533008,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Львовский",,Europe/Moscow,0
533284,ru,EU,"Европа",RU,"Россия",PNZ,"Пензенская область",,,"Лунино",,Europe/Moscow,0
533543,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Луховицы",,Europe/Moscow,0
533690,ru,EU,"Европа",RU,"Россия",LEN,"Ленинградская область",,,"Луга",,Europe/Moscow,0
533754,ru,EU,"Европа",RU,"Россия",BEL,"Белгородская область",,,"Лучка",,Europe/Moscow,0
533793,ru,EU,"Европа",RU,"Россия",TA,"Татарстан",,,"Лубяны",,Europe/Moscow,0
534015,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Лосино-Петровский",,Europe/Moscow,0
534341,ru,EU,"Европа",RU,"Россия",SPE,"Санкт-Петербург",,,"Ломоносов",,Europe/Moscow,0
534413,ru,EU,"Европа",RU,"Россия",BRY,"Брянская область",,,"Локоть",,Europe/Moscow,0
534560,ru,EU,"Европа",RU,"Россия",LEN,"Ленинградская область",,,"Лодейное Поле",,Europe/Moscow,0
534595,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Лобня",,Europe/Moscow,0
534639,ru,EU,"Европа",RU,"Россия",PER,"Пермский край",,,"Лобаново",,Asia/Yekaterinburg,0
534701,ru,EU,"Европа",RU,"Россия",ORL,"Орловская область",,,"Ливны",,Europe/Moscow,0
534705,ru,EU,"Европа",RU,"Россия",KRS,"Курская область",,,"Ливенка",,Europe/Moscow,0
534838,ru,EU,"Европа",RU,"Россия",VOR,"Воронежская область",,,"Лиски",,Europe/Moscow,0
535088,ru,EU,"Европа",RU,"Россия",TUL,"Тульская область",,,"Липки",,Europe/Moscow,0
